cycle,waiting1st,waiting2nd,onboard,arrived
0,0,0,0,0
60,8,0,11,1
120,19,1,17,3
180,17,0,39,4
240,23,5,45,7
300,26,9,55,10
360,27,15,67,11
420,24,16,101,20
480,31,17,123,31
540,31,27,144,41
600,45,34,148,57
660,48,41,163,73
720,53,57,154,102
780,60,50,211,128
840,63,55,265,149
900,88,65,284,178
960,99,55,343,201
1020,93,70,378,240
1080,101,77,391,295
1140,96,93,428,330
1200,95,99,448,388
1260,104,109,451,449
1320,102,119,481,494
1380,115,129,474,561
1440,120,141,462,639
1500,85,152,469,697
1560,81,160,419,784
1620,71,156,427,831
1680,44,156,438,888
1740,39,132,458,938
1800,42,87,483,996
1860,60,101,408,1080
1920,71,71,392,1156
1980,73,81,354,1223
2040,73,63,372,1264
2100,81,53,358,1321
2160,74,64,352,1364
2220,96,57,367,1417
2280,98,75,352,1495
2340,108,71,374,1550
2400,104,85,405,1592
2460,106,75,432,1656
2520,114,83,444,1711
2580,120,118,426,1771
2640,140,120,444,1814
2700,109,115,501,1876
2760,120,114,512,1938
2820,133,119,496,2019
2880,141,139,471,2099
2940,126,134,457,2174
3000,83,152,472,2225
3060,63,174,442,2294
3120,64,182,418,2350
3180,68,161,430,2396
3240,74,158,392,2472
3300,83,165,357,2532
3360,82,123,369,2604
3420,73,122,367,2657
3480,69,98,386,2707
3540,74,77,393,2757
3600,94,72,364,2812
3660,92,68,364,2859
3720,91,68,336,2929
3780,81,73,333,2978
3840,87,75,311,3033
3900,85,79,295,3088
3960,85,89,266,3148
4020,77,90,277,3185
4080,77,100,261,3232
4140,80,89,276,3266
4200,88,93,267,3304
4260,92,99,246,3356
4320,76,108,239,3411
4380,102,110,245,3460
4440,102,117,288,3493
4500,128,112,321,3522
4560,153,138,326,3549
4620,163,126,372,3588
4680,167,119,401,3645
4740,139,123,409,3702
4800,118,142,398,3756
4860,124,168,363,3800
4920,102,175,368,3851
4980,93,195,337,3912
5040,82,156,385,3955
5100,75,176,343,4004
5160,75,148,339,4056
5220,64,109,373,4092
5280,62,106,359,4131
5340,68,96,339,4175
5400,63,78,330,4227
5460,63,74,321,4260
5520,71,73,266,4328
5580,62,79,230,4387
5640,64,78,201,4435
5700,70,78,163,4487
5760,78,87,139,4514
5820,77,92,140,4529
5880,70,81,157,4550
5940,61,83,163,4571
6000,62,80,157,4599
6060,65,73,162,4618
6120,65,75,169,4629
6180,63,76,156,4643
6240,61,67,145,4665
6300,53,67,136,4682
6360,47,68,103,4720
6420,38,62,90,4748
6480,37,68,72,4761
